Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-05T18:30,0.706,1.270,4.277,5.366,42.43,28.150
2021-01-05T19:00,0.825,1.350,4.522,5.657,33.43,28.300
2021-01-05T19:30,0.838,1.680,4.457,5.582,35.43,28.250
2021-01-05T20:00,0.792,1.250,4.313,5.643,39.43,28.400
2021-01-05T20:30,0.806,1.450,4.057,5.244,54.43,28.050
2021-01-05T21:00,0.781,1.180,3.904,4.862,43.43,28.100
2021-01-05T21:30,0.767,1.530,3.830,5.593,43.43,28.150
2021-01-05T22:00,0.753,1.450,3.822,5.207,52.43,28.200
2021-01-05T22:30,0.793,1.310,3.792,4.811,23.43,28.250
2021-01-05T23:00,0.749,1.270,3.616,5.300,43.43,28.350
2021-01-05T23:30,0.796,1.160,3.709,4.473,42.43,28.400
2021-01-06T00:00,0.788,1.260,3.699,4.960,67.43,28.350
2021-01-06T00:30,0.713,1.240,3.770,4.704,61.43,28.350
2021-01-06T01:00,0.678,1.070,3.774,4.581,46.43,28.400
2021-01-06T01:30,0.637,1.040,3.677,5.175,57.43,28.400
2021-01-06T02:00,0.667,1.200,3.528,5.022,45.43,28.400
2021-01-06T02:30,0.765,1.340,3.592,5.624,53.43,28.450
2021-01-06T03:00,0.845,1.790,3.591,4.395,64.43,28.500
2021-01-06T03:30,0.895,1.600,3.694,4.226,68.43,28.500
2021-01-06T04:00,0.879,1.360,3.688,4.919,70.43,28.500
2021-01-06T04:30,0.899,1.490,3.623,4.122,70.43,28.500
2021-01-06T05:00,0.985,1.680,3.674,4.776,78.43,28.500
2021-01-06T05:30,0.985,1.780,3.663,4.404,90.43,28.500
2021-01-06T06:00,1.046,1.650,3.829,4.771,81.43,28.500
2021-01-06T06:30,1.082,1.830,3.761,4.433,91.43,28.500
2021-01-06T07:00,1.085,1.840,3.791,4.701,84.43,28.450
2021-01-06T07:30,1.196,1.990,4.010,4.860,75.43,28.450
2021-01-06T08:00,1.201,2.050,3.980,5.429,87.43,28.450
2021-01-06T08:30,1.252,2.280,4.125,5.171,82.43,28.450
2021-01-06T09:00,1.245,2.060,3.988,5.174,80.43,28.450
2021-01-06T09:30,1.178,2.170,3.974,5.159,64.43,28.450
2021-01-06T10:00,1.234,1.970,4.079,5.155,68.43,28.400
2021-01-06T10:30,1.236,1.940,4.060,5.307,68.43,28.400
2021-01-06T11:00,1.284,2.510,4.072,5.113,73.43,28.400
2021-01-06T11:30,1.204,2.090,4.064,5.211,81.43,28.450
2021-01-06T12:00,1.182,2.300,4.121,5.403,75.43,28.450
2021-01-06T12:30,1.085,2.320,4.155,5.074,82.43,28.450
2021-01-06T13:00,0.952,1.580,4.048,5.325,82.43,28.450
2021-01-06T13:30,0.967,1.580,4.050,5.181,82.43,28.450
2021-01-06T14:00,0.954,1.950,4.204,6.486,68.43,28.450
2021-01-06T14:30,0.949,1.400,4.431,5.485,77.43,28.400
2021-01-06T15:00,0.849,1.470,4.145,5.187,19.43,28.500
2021-01-06T15:30,0.921,1.610,4.256,6.743,64.43,28.450
2021-01-06T16:00,0.925,1.900,4.356,4.821,25.43,28.450
2021-01-06T16:30,0.923,1.570,4.321,5.212,22.43,28.600
2021-01-06T17:00,0.923,1.520,4.497,4.699,59.43,28.600
2021-01-06T17:30,0.889,1.350,4.423,5.967,46.43,28.500
2021-01-06T18:00,0.832,1.340,4.305,5.104,43.43,28.350
2021-01-06T18:30,0.848,1.480,4.406,4.704,22.43,28.300
2021-01-06T19:00,0.790,1.600,4.351,5.347,36.43,28.250
2021-01-06T19:30,0.748,1.330,4.349,5.798,30.43,28.250
2021-01-06T20:00,0.736,1.290,4.341,4.434,25.43,28.150
2021-01-06T20:30,0.711,1.300,4.340,5.873,25.43,28.000
2021-01-06T21:00,0.665,1.070,4.352,5.632,26.43,27.850
2021-01-06T21:30,0.632,1.050,4.282,5.991,21.43,27.700
2021-01-06T22:00,0.652,1.100,4.389,5.992,39.43,27.700
2021-01-06T22:30,0.600,0.840,4.354,7.028,21.43,27.750
2021-01-06T23:00,0.594,0.940,4.417,6.764,21.43,27.750
2021-01-06T23:30,0.607,1.050,4.438,6.400,11.43,27.800
2021-01-07T00:00,0.557,1.070,4.314,6.908,33.43,27.750
2021-01-07T00:30,0.528,0.900,4.404,6.570,15.43,27.800
2021-01-07T01:00,0.512,0.800,4.269,5.063,25.43,27.800
2021-01-07T01:30,0.470,0.750,4.119,5.084,50.43,27.800
